1	2.0574	0.1575	4.2328
2	1.8313	0.3156	3.3537
3	1.7555	0.3753	3.0817
4	1.6752	0.4294	2.8064
5	1.6433	0.4471	2.7003
6	1.594	0.4757	2.541
7	1.547	0.5004	2.3932
8	1.5165	0.5204	2.2999
9	1.4666	0.5478	2.1511
10	1.4167	0.5712	2.0071
11	1.3594	0.606	1.848
12	1.3096	0.6308	1.715
13	1.3037	0.6363	1.6997
14	1.2896	0.6424	1.6631
15	1.2461	0.6649	1.5526
16	1.2434	0.6666	1.5461
17	1.2106	0.6823	1.4656
18	1.1968	0.6872	1.4323
19	1.1829	0.6941	1.3992
20	1.1694	0.7025	1.3674
21	1.1336	0.718	1.285
22	1.1035	0.7345	1.2177
23	1.1003	0.7358	1.2107
24	1.0968	0.7366	1.203
25	1.0788	0.7457	1.1639
26	1.0586	0.7547	1.1207
27	1.0565	0.7555	1.1162
28	1.0484	0.7592	1.0991
29	1.0336	0.7655	1.0684
30	1.0115	0.7749	1.0231
31	1.0015	0.7805	1.0029
32	0.9905	0.7854	0.9812
33	0.9726	0.7927	0.946
34	0.9796	0.7892	0.9596
35	0.9919	0.7844	0.9838
36	0.9719	0.793	0.9446
