1	0.7081	0.6649	0.5823	0.6248
2	0.873	0.8105	0.7815	0.4529
3	0.9278	0.8782	0.8309	0.3424
4	0.9545	0.9036	0.8757	0.2707
5	0.9654	0.924	0.8959	0.2328
6	0.9757	0.9387	0.9074	0.1946
7	0.9823	0.9507	0.9276	0.1658
8	0.9863	0.9602	0.9432	0.1435
9	0.9896	0.962	0.9477	0.1259
10	0.9911	0.9658	0.9523	0.1143
11	0.9942	0.9719	0.9671	0.0926
12	0.9945	0.9749	0.9737	0.0844
13	0.9957	0.9792	0.9679	0.0797
14	0.9958	0.9768	0.9716	0.0772
15	0.9954	0.9752	0.9724	0.0802
16	0.9975	0.9809	0.9741	0.0635
17	0.9976	0.9826	0.9741	0.0608
18	0.9982	0.9831	0.9786	0.0535
19	0.9979	0.981	0.9765	0.057
20	0.9985	0.986	0.9831	0.0456
21	0.9987	0.9855	0.9819	0.043
22	0.9985	0.986	0.9827	0.044
23	0.9988	0.9868	0.9852	0.0429
24	0.9985	0.9872	0.9827	0.0441
25	0.9992	0.9881	0.9885	0.0348
26	0.9992	0.9897	0.9885	0.0329
27	0.9991	0.9881	0.9889	0.0364
28	0.9991	0.9901	0.9864	0.0356
29	0.999	0.9909	0.9877	0.0339
30	0.9992	0.9901	0.9914	0.0315
31	0.9993	0.9917	0.9885	0.0321
32	0.9994	0.9909	0.9901	0.0299
33	0.9995	0.9905	0.9909	0.0276
34	0.9993	0.9913	0.9885	0.0315
35	0.9989	0.9889	0.9864	0.0358
