1	0.7029	0.6228	0.7193	0.6253
2	0.8651	0.7843	0.7892	0.4637
3	0.9109	0.8512	0.8185	0.3772
4	0.936	0.8849	0.8487	0.316
5	0.9554	0.9108	0.878	0.2617
6	0.967	0.9347	0.8987	0.225
7	0.9756	0.9444	0.9132	0.1932
8	0.9803	0.9517	0.921	0.1702
9	0.9885	0.9636	0.9409	0.1325
10	0.9892	0.9613	0.9446	0.1281
11	0.9927	0.9733	0.964	0.1014
12	0.9933	0.9737	0.964	0.0956
13	0.9942	0.9725	0.964	0.0906
14	0.995	0.9787	0.9694	0.0826
15	0.9957	0.9743	0.9706	0.0786
16	0.9963	0.9788	0.9723	0.0725
17	0.997	0.9796	0.9719	0.0679
18	0.9972	0.9817	0.976	0.0629
19	0.9981	0.9821	0.9777	0.0555
20	0.998	0.9846	0.9797	0.0543
21	0.9982	0.9818	0.9818	0.0517
22	0.9984	0.9847	0.9814	0.0468
23	0.9986	0.9851	0.9831	0.0448
24	0.9987	0.9855	0.9835	0.0449
25	0.9987	0.9884	0.9847	0.0425
26	0.9986	0.9872	0.9847	0.0422
27	0.999	0.9851	0.9864	0.0405
28	0.9988	0.9823	0.9847	0.0408
29	0.999	0.9884	0.9859	0.039
30	0.9993	0.9892	0.9884	0.0333
31	0.9992	0.9893	0.9897	0.033
32	0.9992	0.9868	0.9884	0.036
33	0.9992	0.9901	0.9905	0.0305
34	0.9991	0.9884	0.9859	0.0333
35	0.9994	0.9913	0.9913	0.0292
36	0.9991	0.9913	0.9884	0.0338
37	0.9995	0.993	0.9917	0.0256
38	0.9994	0.9888	0.9876	0.0315
39	0.9995	0.9913	0.9893	0.0278
40	0.9993	0.9913	0.9905	0.0281
41	0.9996	0.9917	0.9897	0.027
42	0.9994	0.9909	0.9893	0.0297
43	0.9997	0.9934	0.9917	0.0227
44	0.9997	0.9934	0.9946	0.022
45	0.9997	0.9909	0.9926	0.0234
46	0.9997	0.9913	0.9913	0.0248
