1	1.6288	0.4398	2.6529
2	1.4216	0.5615	2.0209
3	1.3255	0.6072	1.757
4	1.23	0.6547	1.5128
5	1.1593	0.6883	1.3439
6	1.0817	0.7248	1.17
7	1.0048	0.7611	1.0096
8	0.9368	0.7907	0.8776
9	0.8586	0.8249	0.7371
10	0.8245	0.8387	0.6799
11	0.7853	0.8539	0.6166
12	0.7577	0.8641	0.5741
13	0.7362	0.8718	0.542
14	0.72	0.8775	0.5183
15	0.6924	0.887	0.4794
16	0.675	0.8929	0.4556
17	0.6511	0.9006	0.4239
18	0.6306	0.907	0.3976
19	0.6213	0.9099	0.386
20	0.6111	0.9129	0.3734
21	0.6052	0.9146	0.3662
22	0.5896	0.9191	0.3477
23	0.5942	0.9178	0.3531
24	0.5865	0.92	0.344
25	0.5703	0.9245	0.3252
26	0.5593	0.9275	0.3128
27	0.5566	0.9282	0.3098
28	0.5509	0.9297	0.3035
29	0.5478	0.9306	0.3001
30	0.547	0.9308	0.2992
31	0.5395	0.9327	0.291
32	0.5357	0.9337	0.287
33	0.5285	0.9355	0.2793
1	1.6724	0.4279	2.7971
2	1.4627	0.5454	2.1394
3	1.359	0.5897	1.847
4	1.2638	0.6336	1.5973
5	1.1598	0.6831	1.3452
6	1.0869	0.7163	1.1814
7	1.0107	0.7522	1.0216
8	0.9594	0.7751	0.9205
9	0.9135	0.7955	0.8345
10	0.8872	0.807	0.7872
11	0.8273	0.8338	0.6845
12	0.8051	0.8432	0.6481
13	0.7903	0.8493	0.6246
14	0.7822	0.8526	0.6118
15	0.7682	0.8582	0.5901
16	0.7619	0.8607	0.5804
17	0.7503	0.8651	0.563
18	0.7443	0.8675	0.554
19	0.7295	0.8731	0.5322
20	0.7288	0.8733	0.5312
21	0.7048	0.882	0.4967
22	0.697	0.8848	0.4858
23	0.6862	0.8886	0.4709
24	0.6811	0.8903	0.4638
25	0.6737	0.8928	0.4539
26	0.6729	0.8931	0.4528
27	0.6655	0.8956	0.4428
28	0.6611	0.897	0.437
29	0.6572	0.8983	0.4319
30	0.6502	0.9006	0.4228
31	0.6394	0.904	0.4089
32	0.6339	0.9058	0.4018
33	0.6326	0.9062	0.4002
34	0.6262	0.9082	0.3921
35	0.6246	0.9086	0.3901
36	0.6277	0.9077	0.394
37	0.6255	0.9084	0.3913
38	0.6187	0.9104	0.3829
39	0.6209	0.9098	0.3855
40	0.6148	0.9116	0.378
41	0.6089	0.9134	0.3708
42	0.6047	0.9146	0.3656
43	0.609	0.9134	0.3708
44	0.6031	0.9151	0.3637
45	0.6009	0.9158	0.3611
46	0.5991	0.9163	0.3589
47	0.6023	0.9154	0.3628
48	0.5995	0.9162	0.3594
49	0.5925	0.9182	0.351
50	0.5941	0.9177	0.353
51	0.5927	0.9181	0.3513
52	0.5899	0.919	0.3479
53	0.5849	0.9204	0.3421
54	0.5888	0.9193	0.3467
55	0.591	0.9186	0.3493
56	0.5853	0.9203	0.3426
57	0.5853	0.9203	0.3426
58	0.5834	0.9208	0.3403
59	0.5844	0.9205	0.3415
60	0.5828	0.921	0.3396
61	0.5804	0.9217	0.3368
