1	0.7489	0.7144	0.5744	0.5915
2	0.9034	0.8766	0.7848	0.3896
3	0.9543	0.925	0.8679	0.2673
4	0.9696	0.9447	0.9004	0.2146
5	0.979	0.9505	0.922	0.1784
6	0.9856	0.9604	0.9365	0.1464
7	0.9883	0.9619	0.9484	0.1293
8	0.9919	0.9701	0.9599	0.106
9	0.9925	0.9718	0.9563	0.1039
10	0.9952	0.975	0.9704	0.0826
11	0.9968	0.9822	0.9776	0.0656
12	0.9967	0.9793	0.9751	0.069
13	0.9975	0.9801	0.9794	0.0595
14	0.9974	0.9848	0.9809	0.0559
15	0.9981	0.9837	0.9812	0.051
16	0.9985	0.9858	0.9801	0.0481
17	0.9988	0.9831	0.9841	0.0438
18	0.9986	0.9859	0.9834	0.0451
19	0.9986	0.9862	0.9834	0.0457
20	0.9989	0.9877	0.9881	0.0391
21	0.9991	0.9902	0.9881	0.0343
22	0.9989	0.9884	0.9838	0.039
23	0.9992	0.9888	0.9866	0.0353
24	0.9991	0.9884	0.9881	0.0352
25	0.9994	0.991	0.9921	0.0282
26	0.9992	0.9917	0.9899	0.0313
27	0.9994	0.991	0.9899	0.0278
28	0.9993	0.9928	0.991	0.0278
29	0.9996	0.9938	0.9906	0.0232
30	0.9995	0.9917	0.9888	0.0276
31	0.9996	0.9921	0.9935	0.0242
