1	0.7421	0.6472	0.7566	0.6051
2	0.8996	0.8675	0.7922	0.3916
3	0.9476	0.9229	0.8587	0.2803
4	0.9677	0.9387	0.8944	0.2196
5	0.9768	0.9484	0.9192	0.1823
6	0.9847	0.9676	0.9391	0.1436
7	0.9892	0.9623	0.9475	0.1257
8	0.9929	0.9713	0.9577	0.1014
9	0.9946	0.9763	0.9647	0.089
10	0.9961	0.9792	0.9717	0.0746
11	0.9964	0.9751	0.9706	0.0725
12	0.9976	0.98	0.9766	0.0609
13	0.9975	0.9832	0.9797	0.0581
14	0.9978	0.9849	0.9815	0.0533
15	0.9982	0.9884	0.9839	0.0474
16	0.9985	0.9877	0.9836	0.0457
17	0.9986	0.9843	0.9853	0.0431
18	0.9994	0.9912	0.9892	0.0306
19	0.999	0.9874	0.9878	0.0385
20	0.999	0.9895	0.9888	0.034
21	0.999	0.9913	0.9909	0.0326
22	0.9996	0.9933	0.9916	0.0249
23	0.9992	0.9899	0.9902	0.0308
24	0.9993	0.9937	0.9913	0.0266
25	0.9996	0.9913	0.9913	0.0253
26	0.9994	0.9926	0.9906	0.0267
27	0.9996	0.992	0.9916	0.0231
28	0.999	0.9919	0.9899	0.0318
29	0.9998	0.9937	0.993	0.0196
30	0.9997	0.9951	0.9948	0.0183
